year,iso3_tp_o,iso3_tp_d,trade_comb,trade_i,trade_e,pref,mfn,tariff,industry
2001,USA,NIC,126.16446,130.46309,107.94206,0.0,0.022577612,0.022577612,Machines (29t33)
2008,MEX,LVA,0.015689041,0.01719092,2.9999999e-05,0.0060739839,0.034387194,0.0060739839,Minerals (26)
2006,CAN,CHN,253.33589,266.12686,360.18481,,0.10884705,0.10884705,Vehicles (34t35)
2009,CAN,LKA,0.36096364,0.37918875,1.1977715,,0.10455956,0.10455956,Vehicles (34t35)
2004,MEX,LCA,0.077905811,0.084098667,0.0055995001,,0.16890615,0.16890615,Food (15t16)
2006,MEX,PER,4.0572896,4.4456849,4.4043198,0.0,0.08113841,0.08113841,Minerals (26)
2006,USA,PHL,77.221863,81.436821,117.52536,,0.048745327,0.048745327,Metals (27t28)
2007,CAN,HTI,0.0,0.0,,,0.051113714,0.051113714,Textiles (17t19)
2004,CAN,FIN,33.552113,34.695293,40.78038,0.0,0.022583235,0.022583235,Machines (29t33)
2001,USA,MDG,6.3403263,6.7221098,3.6765859,,0.013352923,0.013352923,Chemicals (23t25)
2000,MEX,FRA,70.901062,74.480865,51.53376,0.016064459,0.039682351,0.016064459,Vehicles (34t35)
2006,MEX,SGP,2.7461445,3.009027,2.4150722,,0.0,0.0,Minerals (26)
2002,MEX,NIC,6.8055348,7.3694444,11.597477,0.0,0.042070221,0.042070221,Wood-Paper (20t22)
2000,MEX,NER,0.0,0.0,0.0,,0.16753048,0.16753048,Minerals (26)
2000,USA,BGR,2.8596823,3.1334336,1.5818083,,0.14316097,0.14316097,Minerals (26)
2006,MEX,NPL,0.0,0.0,0.0,,0.19232574,0.19232574,Vehicles (34t35)
2010,USA,ZWE,0.84568018,0.90003401,0.38647914,,0.2839984,0.2839984,Other (36)
2009,CAN,SUR,3.027832,3.2685189,3.3119018,,0.20007925,0.20007925,Food (15t16)
2000,USA,ZAF,522.10083,553.53918,517.7016,,0.037179902,0.037179902,Chemicals (23t25)
2001,CAN,RWA,0.22785592,0.23561934,0.16320914,,0.081549995,0.081549995,Machines (29t33)
2001,CAN,NER,0.017144594,0.018080389,0.041712001,,0.12474066,0.12474066,Metals (27t28)
2003,CAN,BLR,0.22207887,0.23329167,0.58098203,,0.11991397,0.11991397,Vehicles (34t35)
2008,USA,MDA,2.535542,2.6739383,0.08659526,,0.013767301,0.013767301,Metals (27t28)
2010,CAN,NER,0.70396405,0.74635339,0.3531507,,0.075175963,0.075175963,Chemicals (23t25)
2009,USA,BHS,131.61685,142.52269,70.710655,,0.27157423,0.27157423,Wood-Paper (20t22)
2009,MEX,CIV,0.013509611,0.014583509,0.0,,0.16008677,0.16008677,Food (15t16)
2001,USA,BIH,0.0,0.0,,,0.06314221,0.06314221,Machines (29t33)
2006,USA,RWA,0.47449651,0.5138135,0.099610947,,0.19688888,0.19688888,Wood-Paper (20t22)
2006,CAN,POL,58.566433,61.76313,33.005863,,0.09958896,0.09958896,Metals (27t28)
2008,MEX,YEM,0.016058695,0.0168695,0.0,,0.047914706,0.047914706,Vehicles (34t35)
2008,CAN,KEN,10.576032,11.110017,2.1881025,,0.066552937,0.066552937,Vehicles (34t35)
2000,USA,GEO,18.049652,19.484446,47.871452,,0.11983452,0.11983452,Food (15t16)
2008,MEX,MDG,0.023367412,0.024869289,0.0067069,,0.17845745,0.17845745,Other (36)
2003,CAN,PSE,0.0055313609,0.0057722004,0.0,0.0,0.033337239,0.0,Textiles (17t19)
2001,CAN,AUT,1.2748635,1.3969034,0.29065451,,0.071599379,0.071599379,Minerals (26)
2001,MEX,COL,10.692097,11.715628,9.6913328,0.0,0.13307989,0.13307989,Minerals (26)
2007,USA,IDN,88.043877,96.47213,57.059803,,0.07667622,0.07667622,Minerals (26)
2009,MEX,CAN,127.16405,139.3372,44.978081,0.0033827235,0.021807926,0.0030778456,Minerals (26)
2006,CAN,QAT,3.0443945,3.2400649,1.4623908,,0.049574465,0.049574465,Other (36)
2006,USA,MNG,0.69575489,0.75340545,0.54536474,,0.04977778,0.04977778,Wood-Paper (20t22)
2009,MEX,MNE,0.30044794,0.31561759,0.0,,0.034404412,0.034404412,Vehicles (34t35)
2003,USA,NPL,0.98726189,1.0507154,0.2475041,,0.16861703,0.16861703,Other (36)
2001,USA,MAR,17.731682,19.200937,19.373035,0.0040945401,0.40596977,0.40596977,Wood-Paper (20t22)
2009,CAN,NLD,50.165047,52.903179,404.73138,0.0,0.020257959,0.020257959,Metals (27t28)
2004,CAN,DZA,1.3860983,1.4464499,1.3206073,,0.26123974,0.26123974,Textiles (17t19)
2001,MEX,ITA,71.113098,75.395187,67.893715,0.012852124,0.047143988,0.013169273,Chemicals (23t25)
2000,USA,TZA,13.49694,13.956803,14.080623,,0.14665927,0.14665927,Machines (29t33)
2007,MEX,SOM,0.0,0.0,,,,,Vehicles (34t35)
