Code,Country,Cat,numeric_code
HND,Honduras,S,340
HKG,"Hong Kong SAR, China",ES,344
HUN,Hungary,ES,348
ISL,Iceland,N,352
IND,India,ES,356
IDN,Indonesia,ES,360
IRN,"Iran, Islamic Rep.",S,364
IRQ,Iraq,S,368
IRL,Ireland,ES,372
IMN,Isle of Man,S,833
ISR,Israel,N,376
ITA,Italy,N,380
JAM,Jamaica,S,388
JPN,Japan,N,392
JOR,Jordan,ES,400
KAZ,Kazakhstan,ES,398
KEN,Kenya,S,404
KIR,Kiribati,S,296
PRK,"Korea, Dem. Rep.",S,408
KOR,"Korea, Rep.",ES,410
XKX,Kosovo,S,
KWT,Kuwait,S,414
KGZ,Kyrgyz Republic,S,417
LAO,Lao PDR,S,418
LVA,Latvia,ES,428
LBN,Lebanon,S,422
LSO,Lesotho,S,426
LBR,Liberia,S,430
LBY,Libya,S,434
LIE,Liechtenstein,S,438
LTU,Lithuania,ES,440
LUX,Luxembourg,N,442
MAC,"Macao SAR, China",S,446
MDG,Madagascar,S,450
MWI,Malawi,S,454
MYS,Malaysia,ES,458
MDV,Maldives,S,462
MLI,Mali,S,466
MLT,Malta,S,470
MHL,Marshall Islands,S,584
MRT,Mauritania,S,478
MUS,Mauritius,S,480
MEX,Mexico,ES,484
FSM,"Micronesia, Fed. Sts.",S,583
MDA,Moldova,S,498
MCO,Monaco,S,492
MNG,Mongolia,S,496
MNE,Montenegro,S,499
MAR,Morocco,ES,504
MOZ,Mozambique,S,508
MMR,Myanmar,S,104
NAM,Namibia,S,516
NRU,Nauru,S,520
NPL,Nepal,S,524
NLD,Netherlands,N,528
NCL,New Caledonia,S,540
NZL,New Zealand,N,554
NIC,Nicaragua,S,558
NER,Niger,S,562
NGA,Nigeria,S,566
MKD,North Macedonia,S,807
MNP,Northern Mariana Islands,S,580
NOR,Norway,N,578
OMN,Oman,ES,512
PAK,Pakistan,ES,586
PLW,Palau,S,585
PAN,Panama,S,591
PNG,Papua New Guinea,S,598
PRY,Paraguay,ES,600
PER,Peru,ES,604
PHL,Philippines,ES,608
POL,Poland,ES,616
PRT,Portugal,N,620
PRI,Puerto Rico,S,630
QAT,Qatar,S,634
ROU,Romania,ES,642
RUS,Russian Federation,ES,643
RWA,Rwanda,S,646
WSM,Samoa,S,882
SMR,San Marino,S,674
STP,São Tomé and Príncipe,S,678
SAU,Saudi Arabia,S,682
SEN,Senegal,S,686
SRB,Serbia,S,688
SYC,Seychelles,S,690
SLE,Sierra Leone,S,694
SGP,Singapore,ES,702
SXM,Sint Maarten (Dutch part),S,534
SVK,Slovak Republic,ES,703
SVN,Slovenia,ES,705
SLB,Solomon Islands,S,90
SOM,Somalia,S,706
ZAF,South Africa,ES,710
SSD,South Sudan,S,728
ESP,Spain,N,724
LKA,Sri Lanka,S,144
KNA,St. Kitts and Nevis,S,659
LCA,St. Lucia,S,662
MAF,St. Martin (French part),S,663
VCT,St. Vincent and the Grenadines,S,670
SDN,Sudan,S,729
SUR,Suriname,S,740
SWE,Sweden,N,752
CHE,Switzerland,N,756
SYR,Syrian Arab Republic,ES,760
TWN,"Taiwan, China",ES,158
TJK,Tajikistan,S,762
TZA,Tanzania,S,834
THA,Thailand,ES,764
TLS,Timor-Leste,S,626
TGO,Togo,S,768
TON,Tonga,S,776
TTO,Trinidad and Tobago,S,780
TUN,Tunisia,ES,788
TUR,Türkiye,ES,792
TKM,Turkmenistan,S,795
TCA,Turks and Caicos Islands,S,796
TUV,Tuvalu,S,798
UGA,Uganda,S,800
UKR,Ukraine,ES,804
ARE,United Arab Emirates,S,784
GBR,United Kingdom,N,826
USA,United States,N,840
URY,Uruguay,ES,858
UZB,Uzbekistan,S,860
VUT,Vanuatu,S,548
VEN,"Venezuela, RB",ES,862
VNM,Viet Nam,ES,704
VIR,Virgin Islands (U.S.),S,850
PSE,West Bank and Gaza,S,275
YEM,"Yemen, Rep.",S,887
ZMB,Zambia,S,894
ZWE,Zimbabwe,S,716
