year,country_id_o,country_id_d,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,distw_harmonic,distw_arithmetic,distw_harmonic_jh,distw_arithmetic_jh,dist,main_city_source_o,main_city_source_d,distcap,contig,diplo_disagreement,scaled_sci_2021,comlang_off,comlang_ethno,comcol,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,comrelig,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,fta_wto,fta_wto_raw,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
2004,USA,GLP,USA,GLP,840.0,312.0,1,1,-5.0,-4.0,3627.0,3988.0,,,2985.0,UN_WUP_Largest,UN_WUP_Capitals,2945.0,0.0,,5216.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.294,0.0,0.0,0.0,0.0,,,,1.0,0.0,1803.0,0.0,292805.298,444.515,12274900140.032,,41.922,,1.0,2.0,1.0,,12274928000.0,,41.922,,292539.344,,14264112128.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.7,,6.0,,6.0,,12.0,,,,,,,
2009,MEX,VNM.2,MEX,VNM,484.0,704.0,1,1,-6.0,7.0,15031.0,15067.0,14884.0,14926.0,15641.0,UN_WUP_Largest,UN_WUP_Largest,14775.0,0.0,1.203,177.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.037,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,116422.752,86025.002,895313117.184,106014597.12,7.69,1.232,1.0,1.0,1.0,1.0,1627727051.35,354717704.806,14.092,4.123,115505.227,87565.406,1602847872.0,328223808.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,19.5,13.3,8.0,10.0,9.5,37.0,17.5,47.0,101857.635,163585.107,151278.06,143678.172,101851.0,163600.0
2000,USA,MYT,USA,MYT,840.0,175.0,1,1,-5.0,3.0,14756.0,14872.0,,,13385.0,UN_WUP_Largest,UN_WUP_Capitals,13677.0,0.0,,493.0,,,,,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,,,,0.0,0.0,1803.0,0.0,282162.415,155.909,10284800409.6,,36.45,,1.0,2.0,1.0,,10284779000.0,,36.45,,281982.781,,12948142080.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1921.742,1861.832,1845.261,,
2003,MEX,MKD,MEX,MKD,484.0,807.0,1,1,-6.0,1.0,10780.0,10785.0,10781.0,10787.0,10881.0,UN_WUP_Largest,UN_WUP_Largest,10881.0,0.0,1.33,479.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.005,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,108056.313,2080.866,713284255.744,4756221.44,6.601,2.286,1.0,1.0,1.0,1.0,1131771430.256,13351931.188,10.713,6.502,105640.453,2053.426,1328494592.0,14538732.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,29.5,11.0,9.0,14.0,31.5,49.0,40.5,63.0,,331.45,326.653,302.146,,331.282
2002,CAN,SVN,CAN,SVN,124.0,705.0,1,1,-5.0,1.0,7099.0,7175.0,7003.0,7110.0,6959.0,UN_WUP_Largest,UN_WUP_Capitals,6609.0,0.0,0.067,4173.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,31362.0,1994.53,752531734.528,23563028.48,23.995,11.814,1.0,1.0,1.0,1.0,967558830.683,40498975.974,30.851,20.305,31320.889,1988.264,1160419712.0,46321792.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,19700.043,35079.248,27102.181,14506.06,19755.686,35171.074
2008,CAN,VNM.1,CAN,VNM,124.0,704.0,1,0,-5.0,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,0.0,,,,,,,,,,,33245.773,,1542560677.888,,46.399,,1.0,,1.0,,1339060588.631,,40.278,,33404.547,,1382668416.0,,1.0,,1.0,,0.0,,,,,,0.4,,2.0,,5.5,,7.5,,,,,,,
2010,MEX,TGO,MEX,TGO,484.0,768.0,1,1,-6.0,0.0,10962.0,10977.0,10896.0,10918.0,10870.0,UN_WUP_Largest,UN_WUP_Largest,10870.0,0.0,0.411,905.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.278,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,117886.406,6306.014,1051627945.984,3172945.408,8.921,0.503,1.0,1.0,1.0,1.0,1732191876.994,7698450.389,14.765,1.184,117318.938,6502.952,1736534272.0,7844974.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,21.0,178.1,7.0,7.0,8.5,84.0,15.5,91.0,59.415,497.921,537.012,537.012,57.0,513.143
2010,CAN,BTN,CAN,BTN,124.0,64.0,1,1,-5.0,6.0,11624.0,11643.0,11279.0,11305.0,12046.0,UN_WUP_Largest,UN_WUP_Capitals,11799.0,0.0,2.019,3276.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,34005.276,716.939,1614072119.296,1585396.224,47.465,2.211,1.0,1.0,1.0,1.0,1361137270.766,4576726.814,40.027,6.29,34168.668,727.641,1358793472.0,4717090.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.4,6.1,2.0,8.0,5.5,46.0,7.5,54.0,1573.654,913.292,2461.173,2461.173,1574.023,913.292
2009,MEX,TJK,MEX,TJK,484.0,762.0,1,1,-6.0,5.0,13222.0,13234.0,13166.0,13180.0,13466.0,UN_WUP_Largest,UN_WUP_Largest,13466.0,0.0,0.343,339.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,116422.752,7447.396,895313117.184,4979482.112,7.69,0.669,1.0,1.0,1.0,1.0,1627727051.35,14629087.51,14.092,1.958,115505.227,7472.819,1602847872.0,14810387.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,19.5,24.3,8.0,12.0,9.5,42.0,17.5,54.0,143.655,,143.655,143.655,143.0,3932.756
2004,USA,CSK,USA,CSK,840.0,200.0,1,0,-5.0,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,0.0,,,,,,,,,,,292805.298,,12274900140.032,,41.922,,1.0,,1.0,,12274928000.0,,41.922,,292539.344,,14264112128.0,,1.0,,1.0,,0.0,,,,,,0.7,,6.0,,6.0,,12.0,,,,,,,
