,Coefficient,Standard Error,Observations
iso3num_d_year_fe_250.01995,4.3012,2.7219999999999995,1472
iso3num_d_year_fe_250.02005,3.1457,2.597,1472
iso3num_d_year_fe_250.0201,3.2651,2.659,1472
iso3num_d_year_fe_250.02015,12.6209,0.234,1472
iso3num_d_year_fe_266.0201,-1.4247,2.781,1472
iso3num_d_year_fe_266.02015,10.9682,0.62,1472
iso3num_d_year_fe_268.02005,-0.9859,2.866,1472
iso3num_d_year_fe_268.02015,6.0919,0.881,1472
iso3num_d_year_fe_270.02005,-2.3806,2.543,1472
iso3num_d_year_fe_270.0201,-1.0414,2.738,1472
iso3num_d_year_fe_275.02,1.7006,2.824,1472
iso3num_d_year_fe_275.02005,-0.2968,2.691,1472
iso3num_d_year_fe_275.0201,-0.9517,2.809,1472
iso3num_d_year_fe_275.02015,12.805,0.722,1472
iso3num_d_year_fe_276.01995,3.9089,2.6340000000000003,1472
iso3num_d_year_fe_276.02,2.8744,2.635,1472
iso3num_d_year_fe_276.02005,3.1232,2.675,1472
iso3num_d_year_fe_276.0201,4.2215,2.698,1472
iso3num_d_year_fe_276.02015,13.7142,0.414,1472
iso3num_d_year_fe_288.01995,-1.488,2.662,1472
iso3num_d_year_fe_288.02,0.3022,2.706,1472
iso3num_d_year_fe_288.02005,-0.8495,2.806,1472
iso3num_d_year_fe_288.02015,9.5578,0.226,1472
iso3num_d_year_fe_300.01995,5.3509,2.667,1472
iso3num_d_year_fe_300.02,-0.2412,2.667,1472
iso3num_d_year_fe_300.02005,1.3606,2.645,1472
iso3num_d_year_fe_300.0201,1.5362,2.738,1472
iso3num_d_year_fe_300.02015,13.714,0.8820000000000001,1472
iso3num_d_year_fe_320.01995,0.18,0.8549999999999999,1472
iso3num_d_year_fe_320.02,0.2597,0.741,1472
iso3num_d_year_fe_320.0201,0.483,0.563,1472
iso3num_d_year_fe_320.02015,10.8222,2.775,1472
iso3num_d_year_fe_332.01995,0.7315,2.139,1472
iso3num_d_year_fe_340.01995,-0.235,0.677,1472
iso3num_d_year_fe_340.02,0.7856,0.677,1472
iso3num_d_year_fe_340.02005,-0.2976,0.756,1472
iso3num_d_year_fe_340.0201,0.4138,0.638,1472
iso3num_d_year_fe_340.02015,9.663,2.883,1472
iso3num_d_year_fe_344.01995,3.2006,2.957,1472
iso3num_d_year_fe_344.02,4.3728,2.837,1472
iso3num_d_year_fe_344.02005,4.1115,2.835,1472
iso3num_d_year_fe_344.0201,3.2293,2.858,1472
iso3num_d_year_fe_344.02015,13.9446,0.435,1472
iso3num_d_year_fe_348.01995,0.9969,2.752,1472
iso3num_d_year_fe_348.0201,-0.437,2.7419999999999995,1472
iso3num_d_year_fe_348.02015,7.9685,0.845,1472
iso3num_d_year_fe_352.01995,-3.2206,2.664,1472
iso3num_d_year_fe_352.02,-2.6861,2.5650000000000004,1472
iso3num_d_year_fe_352.02005,1.2787,2.586,1472
iso3num_d_year_fe_352.0201,-3.4825,2.623,1472
iso3num_d_year_fe_352.02015,8.7774,0.151,1472
iso3num_d_year_fe_356.02,1.3648,2.847,1472
