Agreement Name,Countries
EU Albania,"Albania, Austria, Belgium, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, United Kingdom"
EFTA Albania,"Albania, Iceland, Liechtenstein, Norway, Switzerland"
Albania Kosovo,"Albania, Kosovo"
Albania Macedonia,"Albania, North Macedonia"
Albania Moldova,"Albania, Moldova"
Albania Romania,"Albania, Romania"
Albania Serbia and Montenegro,"Albania, Serbia"
Bulgaria Bosnia and Herzegovina,"Bosnia & Herzegovina, Bulgaria"
Croatia Bosnia and Herzegovina,"Bosnia & Herzegovina, Croatia"
Former Yugoslav Republic of Macedonia Bosnia and Herzegovina,"Bosnia & Herzegovina, North Macedonia"
Moldova Bosnia and Herzegovina,"Bosnia & Herzegovina, Moldova"
Romania Bosnia and Herzegovina,"Bosnia & Herzegovina, Romania"
Slovenia Bosnia and Herzegovina,"Bosnia & Herzegovina, Slovenia"
Bulgaria Estonia,"Bulgaria, Estonia"
Bulgaria Latvia,"Bulgaria, Latvia"
Bulgaria Lithuania,"Bulgaria, Lithuania"
Moldova Bulgaria,"Bulgaria, Moldova"
Bulgaria Serbia and Montenegro,"Bulgaria, Serbia"
Central European Free Trade Agreement (CEFTA),"Czechia, Hungary, Poland, Slovakia"
Central European Free Trade Agreement (CEFTA) Accession of Slovenia,"Czechia, Hungary, Poland, Slovakia, Slovenia"
Central European Free Trade Agreement (CEFTA) Accession of Romania,"Czechia, Hungary, Poland, Romania, Slovakia, Slovenia"
Central European Free Trade Agreement (CEFTA) Accession of Bulgaria,"Bulgaria, Czechia, Hungary, Poland, Romania, Slovakia, Slovenia"
Central European Free Trade Agreement (CEFTA) Accession of Croatia,"Bulgaria, Croatia, Czechia, Hungary, Poland, Romania, Slovakia, Slovenia"
Central European Free Trade Agreement (CEFTA) 2006,"Albania, Bosnia & Herzegovina, Bulgaria, Croatia, Kosovo, Moldova, Montenegro, North Macedonia, Romania, Serbia"
EU Croatia,"Austria, Belgium, Croatia, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom"
EFTA Croatia,"Croatia, Iceland, Liechtenstein, Norway, Switzerland"
Croatia North Macedonia,"Croatia, North Macedonia"
Moldova Croatia,"Croatia, Moldova"
Croatia Serbia and Montenegro,"Croatia, Serbia"
EU North Macedonia,"Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, North Macedonia, Portugal, Spain, Sweden, United Kingdom"
EU Montenegro,"Austria, Belgium, Bulgaria, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom"
EC (25) Enlargement,"Austria, Belgium, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, United Kingdom"
EC (27) Enlargement,"Austria, Belgium, Bulgaria, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom"
European Free Trade Association (EFTA),"Austria, Denmark, Iceland, Liechtenstein, Norway, Portugal, Sweden, Switzerland, United Kingdom"
EFTA accession of Iceland,"Austria, Denmark, Iceland, Norway, Portugal, Sweden, Switzerland, United Kingdom"
EFTA Former Yugoslav Republic of Macedonia,"Iceland, Liechtenstein, North Macedonia, Norway, Switzerland"
EFTA Serbia,"Iceland, Liechtenstein, Norway, Serbia, Switzerland"
Iceland Faroe Islands,"Faroe Islands, Iceland"
Moldova Former Yugoslav Republic of Macedonia,"Moldova, North Macedonia"
Romania Former Yugoslav Republic of Macedonia,"North Macedonia, Romania"
Ukraine Former Yugoslav Republic of Macedonia,"North Macedonia, Ukraine"
Moldova Serbia and Montenegro,"Moldova, Serbia"
Ukraine Moldova,"Moldova, Ukraine"
Romania Serbia and Montenegro,"Romania, Serbia"
Russian Federation Serbia,"Russia, Serbia"
Pacific Island Countries Trade Agreement (PICTA),"Cook Islands, Fiji, Kiribati, Nauru, Niue, Samoa, Tonga, Tuvalu, Vanuatu"
