"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","100590","Cereals; maize (corn), other than seed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","615082","false","-1","N/A",,"false","615082","false",,"false",,"44308","44308","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","120710","Oleaginous fruits; palm nuts and kernels, whether or not broken","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","703","false","-1","N/A",,"false","703","false",,"false",,"782","782","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","120799","Oil seeds and oleaginous fruits; n.e.s. in heading no. 1207, whether or not broken","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44957","false","-1","N/A",,"false","44957","false",,"false",,"59721","59721","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","120999","Seed; n.e.s. in heading no. 1209, of a kind used for sowing","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","-1","N/A",,"false","5","false",,"false",,"100","100","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","121190","Plants and parts (including seeds and fruits) n.e.s. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes; fresh or dried, whether or not cut, crushed or powdered","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","113","false","-1","N/A",,"false","113","false",,"false",,"2500","2500","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","121299","Vegetable products (including unroasted chicory roots, chicorium intybus sativum variety); n.e.s. in chapter 12, fresh, chilled, frozen or dried, ground or unground, primarily for human consumption","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29","false","-1","N/A",,"false","29","false",,"false",,"138","138","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","160100","Meat preparations; sausages and similar products, of meat, meat offal or blood, and food preparations based on these products","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16147","false","-1","N/A",,"false","16147","false",,"false",,"34701","34701","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","160220","Meat preparations; of the prepared or preserved liver of any animal (excluding homogenised preparations)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55","false","-1","N/A",,"false","55","false",,"false",,"230","230","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","160241","Meat preparations; of swine, hams and cuts thereof, prepared or preserved (excluding homogenised preparations)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","73","false","-1","N/A",,"false","73","false",,"false",,"403","403","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","160242","Meat preparations; of swine, shoulders and cuts thereof, prepared or preserved (excluding homogenised preparations)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","51","false","-1","N/A",,"false","51","false",,"false",,"129","129","0","false","false",
