TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AltQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,010221,"Cattle; live, pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,71,FALSE,5,u,71,FALSE,35865,FALSE,0,FALSE,,118498,118498,0,FALSE,TRUE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,600,PRY,Paraguay,0,W00,World,H5,HS,TRUE,010221,"Cattle; live, pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,71,FALSE,5,u,71,FALSE,35865,FALSE,0,FALSE,,118498,118498,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,010410,Sheep; live,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,14,FALSE,5,u,14,FALSE,1513,FALSE,0,FALSE,,11197,11197,0,FALSE,TRUE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,76,BRA,Brazil,0,W00,World,H5,HS,TRUE,010410,Sheep; live,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,14,FALSE,5,u,14,FALSE,1513,FALSE,0,FALSE,,11197,11197,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1914,FALSE,5,u,1914,FALSE,29904.25,FALSE,0,FALSE,,1306785,1306785,0,FALSE,TRUE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,76,BRA,Brazil,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,21,FALSE,5,u,21,FALSE,6857,FALSE,0,FALSE,,4900,4900,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,124,CAN,Canada,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,25,FALSE,5,u,25,FALSE,408,FALSE,0,FALSE,,14750,14750,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,152,CHL,Chile,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,19,FALSE,5,u,19,FALSE,237,FALSE,0,FALSE,,13390,13390,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,170,COL,Colombia,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,34,FALSE,5,u,34,FALSE,442,FALSE,0,FALSE,,35765,35765,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,188,CRI,Costa Rica,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,20,FALSE,5,u,20,FALSE,175,FALSE,0,FALSE,,18750,18750,0,TRUE,FALSE
